+---------------------+-----------+
| avg_sentence_length | Frequency |
+---------------------+-----------+
|         8.5         |    4903   |
|         9.0         |    4606   |
|         10.0        |    4581   |
|         9.5         |    4524   |
|         8.0         |    3995   |
|         10.5        |    3095   |
|         11.0        |    2780   |
|         7.0         |    2244   |
|         11.5        |    2168   |
|         7.5         |    1814   |
|         6.0         |    1790   |
|         12.0        |    1767   |
|         6.67        |    1664   |
|         7.33        |    1643   |
|         6.33        |    1566   |
|         7.67        |    1524   |
|         8.33        |    1277   |
|         12.5        |    1260   |
|         5.67        |    1053   |
|         8.67        |    1020   |
|         13.0        |    1019   |
|         9.33        |    730    |
|         13.5        |    702    |
|         5.33        |    695    |
|         14.0        |    681    |
|         5.0         |    680    |
|         15.0        |    631    |
|         9.67        |    606    |
|         16.0        |    591    |
|         17.0        |    481    |
|         18.0        |    449    |
|         6.25        |    436    |
|         14.5        |    427    |
|         6.5         |    422    |
|        10.33        |    404    |
|         6.75        |    403    |
|         5.75        |    368    |
|        10.67        |    362    |
|         5.5         |    341    |
|         7.25        |    330    |
|         19.0        |    328    |
|         20.0        |    312    |
|         15.5        |    299    |
|         7.75        |    287    |
|         5.25        |    263    |
|        11.67        |    249    |
|         8.25        |    248    |
|         21.0        |    244    |
|        11.33        |    222    |
|         16.5        |    210    |
|         22.0        |    194    |
|         8.75        |    181    |
|        12.67        |    172    |
|         4.75        |    170    |
|         23.0        |    168    |
|        12.33        |    164    |
|         17.5        |    147    |
|         9.25        |    146    |
|         24.0        |    134    |
|        13.67        |    130    |
|         9.75        |    126    |
|         25.0        |    126    |
|         4.5         |    116    |
|        13.33        |    115    |
|        10.25        |    109    |
|        14.33        |     98    |
|         18.5        |     93    |
|         26.0        |     90    |
|        14.67        |     81    |
|        16.33        |     76    |
|         4.67        |     74    |
|        15.67        |     73    |
|         4.25        |     72    |
|         6.4         |     72    |
|         19.5        |     67    |
|         7.2         |     63    |
|        15.33        |     63    |
|         6.6         |     62    |
|         27.0        |     60    |
|         8.4         |     59    |
|        10.75        |     58    |
|         7.8         |     58    |
|         6.2         |     57    |
|         5.6         |     56    |
|         5.8         |     54    |
|        11.75        |     53    |
|         29.0        |     52    |
|         6.8         |     50    |
|         28.0        |     49    |
|         7.6         |     48    |
|         7.4         |     47    |
|         5.4         |     47    |
|         4.0         |     46    |
|        11.25        |     45    |
|         8.6         |     43    |
|         8.2         |     42    |
|         8.8         |     39    |
|         5.2         |     37    |
|        16.67        |     37    |
|        18.33        |     36    |
|        17.67        |     35    |
|         30.0        |     34    |
|         20.5        |     33    |
|        12.25        |     33    |
|        18.67        |     31    |
|        17.33        |     29    |
|         9.4         |     28    |
|        12.75        |     28    |
|         4.8         |     24    |
|         9.6         |     23    |
|         31.0        |     22    |
|         21.5        |     22    |
|        19.33        |     21    |
|         9.2         |     21    |
|         3.75        |     21    |
|         32.0        |     21    |
|         9.8         |     21    |
|         10.4        |     20    |
|         22.5        |     19    |
|         10.8        |     18    |
|        14.75        |     18    |
|         33.0        |     18    |
|         10.6        |     18    |
|        13.25        |     17    |
|        19.67        |     15    |
|        20.33        |     15    |
|         10.2        |     15    |
|         11.8        |     15    |
|         36.0        |     15    |
|         12.2        |     14    |
|        13.75        |     14    |
|         34.0        |     13    |
|         8.17        |     13    |
|         6.17        |     13    |
|         4.6         |     12    |
|         11.2        |     12    |
|         11.6        |     12    |
|        15.25        |     11    |
|         11.4        |     11    |
|         23.5        |     11    |
|         12.8        |     11    |
|        14.25        |     11    |
|         35.0        |     10    |
|         4.4         |     9     |
|         4.2         |     9     |
|         24.5        |     9     |
|         7.17        |     9     |
|         8.83        |     8     |
|        16.75        |     8     |
|         5.83        |     8     |
|         7.83        |     8     |
|         12.6        |     8     |
|         9.83        |     7     |
|         4.33        |     7     |
|         3.8         |     7     |
|         13.4        |     7     |
|        21.33        |     7     |
|         6.83        |     6     |
|         40.0        |     6     |
|         3.2         |     6     |
|         25.5        |     6     |
|         12.4        |     6     |
|         7.57        |     5     |
|         43.0        |     5     |
|         6.14        |     4     |
|        16.25        |     4     |
