+-------------------+-------+
| num_cap_per_image | count |
+-------------------+-------+
|         96        |  1086 |
|         99        |  1069 |
|         97        |  1060 |
|         88        |  1059 |
|         89        |  1050 |
|         87        |  1042 |
|         92        |  1040 |
|         94        |  1031 |
|         91        |  1029 |
|         86        |  1026 |
|         93        |  1015 |
|         95        |  1011 |
|         98        |  997  |
|        103        |  997  |
|        105        |  979  |
|        100        |  975  |
|         90        |  973  |
|        101        |  971  |
|        104        |  951  |
|        102        |  928  |
|        106        |  910  |
|        107        |  896  |
|        110        |  889  |
|        109        |  887  |
|         85        |  865  |
|        112        |  860  |
|        108        |  855  |
|         84        |  854  |
|        111        |  852  |
|        113        |  799  |
|        115        |  782  |
|         78        |  780  |
|         83        |  774  |
|         77        |  771  |
|        114        |  768  |
|        116        |  756  |
|         82        |  716  |
|        117        |  715  |
|        118        |  707  |
|        120        |  700  |
|        119        |  692  |
|        121        |  677  |
|         81        |  660  |
|        122        |  656  |
|        125        |  656  |
|         79        |  643  |
|        124        |  640  |
|         76        |  623  |
|         80        |  607  |
|        129        |  607  |
|        123        |  603  |
|        126        |  591  |
|        128        |  585  |
|        130        |  573  |
|        127        |  551  |
|        131        |  536  |
|        134        |  513  |
|        132        |  504  |
|        133        |  497  |
|        135        |  477  |
|        137        |  464  |
|        136        |  454  |
|        138        |  451  |
|        139        |  427  |
|         75        |  418  |
|        140        |  395  |
|        141        |  376  |
|        144        |  372  |
|        142        |  371  |
|        148        |  363  |
|        145        |  355  |
|        147        |  347  |
|        143        |  343  |
|        146        |  317  |
|        151        |  314  |
|         74        |  312  |
|         72        |  308  |
|        149        |  301  |
|        150        |  296  |
|        152        |  290  |
|         73        |  288  |
|        154        |  270  |
|        158        |  266  |
|        153        |  265  |
|        155        |  255  |
|        156        |  244  |
|        161        |  227  |
|        160        |  224  |
|        159        |  221  |
|        157        |  217  |
|        163        |  212  |
|        162        |  210  |
|         71        |  205  |
|        164        |  204  |
|        165        |  198  |
|        167        |  198  |
|        170        |  187  |
|        166        |  182  |
|        168        |  176  |
|        171        |  164  |
|        172        |  163  |
|        178        |  160  |
|        175        |  159  |
|        169        |  155  |
|         70        |  153  |
|        173        |  153  |
|        174        |  147  |
|        187        |  146  |
|        176        |  142  |
|        179        |  135  |
|        183        |  134  |
|        177        |  133  |
|        182        |  132  |
|        188        |  130  |
|        180        |  129  |
|        186        |  126  |
|        184        |  125  |
|        181        |  116  |
|        193        |  115  |
|        189        |  107  |
|        185        |  105  |
|        191        |  104  |
|        192        |   98  |
|        194        |   97  |
|        198        |   93  |
|        201        |   91  |
|        203        |   90  |
|        197        |   90  |
|        195        |   90  |
|        190        |   89  |
|         69        |   87  |
|        204        |   86  |
|        199        |   84  |
|        209        |   82  |
|        196        |   80  |
|        215        |   79  |
|        202        |   74  |
|        206        |   74  |
|        200        |   73  |
|        208        |   70  |
|        216        |   70  |
|        207        |   68  |
|        214        |   68  |
|        222        |   67  |
|        205        |   66  |
|        220        |   63  |
|        213        |   61  |
|        211        |   60  |
|        212        |   59  |
|        210        |   58  |
|        223        |   56  |
|        224        |   54  |
|        234        |   53  |
|        219        |   52  |
|        217        |   52  |
|        218        |   52  |
|         68        |   51  |
|        230        |   51  |
|        228        |   50  |
|        221        |   49  |
|        229        |   46  |
|        227        |   46  |
|        232        |   45  |
|        233        |   44  |
|        226        |   43  |
|        239        |   43  |
|        241        |   43  |
|        231        |   41  |
|        247        |   40  |
|        225        |   40  |
|        249        |   39  |
|        248        |   39  |
|        243        |   39  |
|        240        |   38  |
|        245        |   37  |
|        235        |   36  |
|        236        |   36  |
|        244        |   35  |
|        256        |   34  |
|         67        |   34  |
|        242        |   33  |
|        255        |   32  |
|        237        |   30  |
|        262        |   29  |
|        250        |   29  |
|        246        |   29  |
|        267        |   29  |
|        251        |   28  |
|         66        |   28  |
|        259        |   28  |
|        265        |   28  |
|        238        |   27  |
|        260        |   26  |
|        253        |   26  |
|        268        |   26  |
|        284        |   25  |
|        279        |   25  |
|        271        |   25  |
|        261        |   25  |
