+------------------+-----------+
| stop_words_count | Frequency |
+------------------+-----------+
|        8         |   10807   |
|        7         |    9552   |
|        9         |    8901   |
|        10        |    6644   |
|        6         |    5278   |
|        11        |    5048   |
|        12        |    3952   |
|        13        |    2912   |
|        5         |    2533   |
|        14        |    2242   |
|        15        |    1671   |
|        16        |    1369   |
|        4         |    1077   |
|        17        |    1070   |
|        18        |    883    |
|        19        |    687    |
|        20        |    569    |
|        21        |    469    |
|        22        |    375    |
|        3         |    349    |
|        23        |    269    |
|        24        |    239    |
|        25        |    220    |
|        26        |    161    |
|        2         |    134    |
|        27        |    114    |
|        28        |     98    |
|        29        |     95    |
|        30        |     68    |
|        31        |     61    |
|        32        |     53    |
|        1         |     40    |
|        33        |     33    |
|        34        |     28    |
|        35        |     21    |
|        37        |     17    |
|        36        |     15    |
|        38        |     14    |
|        39        |     10    |
|        41        |     10    |
|        0         |     8     |
|        40        |     8     |
|        42        |     6     |
|        45        |     5     |
|        46        |     2     |
|        44        |     2     |
|        47        |     2     |
|        43        |     2     |
|        56        |     1     |
|        48        |     1     |
|        53        |     1     |
+------------------+-----------+
