+------------------+-----------+
| stop_words_ratio | Frequency |
+------------------+-----------+
|       0.41       |    5064   |
|       0.42       |    4295   |
|       0.5        |    3950   |
|       0.44       |    3927   |
|       0.4        |    3754   |
|       0.38       |    3710   |
|       0.47       |    3594   |
|       0.39       |    3454   |
|       0.43       |    3390   |
|       0.45       |    3231   |
|       0.48       |    2938   |
|       0.35       |    2737   |
|       0.33       |    2619   |
|       0.37       |    1813   |
|       0.46       |    1752   |
|       0.52       |    1722   |
|       0.32       |    1652   |
|       0.36       |    1557   |
|       0.53       |    1359   |
|       0.29       |    1102   |
|       0.3        |    880    |
|       0.56       |    819    |
|       0.55       |    798    |
|       0.31       |    772    |
|       0.54       |    688    |
|       0.28       |    556    |
|       0.57       |    534    |
|       0.27       |    513    |
|       0.25       |    476    |
|       0.49       |    422    |
|       0.58       |    413    |
|       0.26       |    394    |
|       0.59       |    341    |
|       0.51       |    336    |
|       0.24       |    326    |
|       0.34       |    223    |
|       0.6        |    212    |
|       0.22       |    178    |
|       0.61       |    157    |
|       0.2        |    148    |
|       0.62       |    147    |
|       0.21       |    136    |
|       0.19       |    122    |
|       0.17       |    100    |
|       0.23       |     91    |
|       0.18       |     85    |
|       0.65       |     69    |
|       0.64       |     64    |
|       0.63       |     58    |
|       0.12       |     53    |
|       0.67       |     44    |
|       0.16       |     43    |
|       0.13       |     42    |
|       0.15       |     37    |
|       0.14       |     36    |
|       0.11       |     26    |
|       0.1        |     20    |
|       0.06       |     19    |
|       0.68       |     18    |
|       0.69       |     16    |
|       0.66       |     12    |
|       0.07       |     10    |
|       0.71       |     10    |
|       0.7        |     9     |
|       0.0        |     8     |
|       0.05       |     8     |
|       0.09       |     7     |
|       0.72       |     6     |
|       0.74       |     5     |
|       0.08       |     5     |
|       0.04       |     3     |
|       0.73       |     2     |
|       0.75       |     2     |
|       0.78       |     2     |
|       0.79       |     1     |
|       0.8        |     1     |
|       0.82       |     1     |
|       0.88       |     1     |
|       0.81       |     1     |
+------------------+-----------+
