+------------+-----------+
| word_count | Frequency |
+------------+-----------+
|     19     |    6360   |
|     17     |    6087   |
|     20     |    6060   |
|     18     |    5263   |
|     21     |    5173   |
|     22     |    4530   |
|     23     |    4160   |
|     24     |    3388   |
|     16     |    3303   |
|     25     |    3078   |
|     26     |    2389   |
|     15     |    2168   |
|     27     |    2019   |
|     28     |    1684   |
|     29     |    1457   |
|     30     |    1236   |
|     31     |    1058   |
|     32     |    956    |
|     33     |    847    |
|     34     |    665    |
|     35     |    650    |
|     36     |    617    |
|     37     |    464    |
|     38     |    433    |
|     39     |    415    |
|     40     |    349    |
|     41     |    324    |
|     42     |    305    |
|     14     |    240    |
|     43     |    239    |
|     44     |    231    |
|     45     |    185    |
|     48     |    176    |
|     47     |    175    |
|     46     |    168    |
|     49     |    153    |
|     50     |    117    |
|     51     |     95    |
|     54     |     92    |
|     53     |     87    |
|     56     |     76    |
|     52     |     74    |
|     55     |     71    |
|     59     |     58    |
|     60     |     51    |
|     58     |     49    |
|     57     |     48    |
|     61     |     46    |
|     64     |     32    |
|     62     |     27    |
|     63     |     25    |
|     67     |     20    |
|     65     |     18    |
|     70     |     17    |
|     13     |     15    |
|     66     |     15    |
|     71     |     11    |
|     69     |     10    |
|     68     |     9     |
|     72     |     8     |
|     74     |     8     |
|     75     |     6     |
|     73     |     4     |
|     76     |     4     |
|     77     |     4     |
|     80     |     3     |
|     82     |     3     |
|     79     |     3     |
|     78     |     2     |
|     87     |     2     |
|     96     |     2     |
|     93     |     2     |
|     92     |     2     |
|     85     |     2     |
|     86     |     1     |
|     88     |     1     |
|     84     |     1     |
+------------+-----------+
