+----------+-----------+
| ws_count | Frequency |
+----------+-----------+
|    19    |    6363   |
|    20    |    6097   |
|    17    |    5993   |
|    18    |    5273   |
|    21    |    5086   |
|    22    |    4461   |
|    23    |    4057   |
|    24    |    3322   |
|    16    |    3191   |
|    25    |    2982   |
|    26    |    2502   |
|    27    |    2037   |
|    15    |    1991   |
|    28    |    1743   |
|    29    |    1487   |
|    30    |    1269   |
|    31    |    1114   |
|    32    |    975    |
|    33    |    862    |
|    34    |    726    |
|    36    |    656    |
|    35    |    640    |
|    37    |    472    |
|    38    |    459    |
|    39    |    408    |
|    40    |    372    |
|    41    |    329    |
|    42    |    320    |
|    43    |    276    |
|    44    |    224    |
|    14    |    222    |
|    46    |    205    |
|    45    |    204    |
|    48    |    176    |
|    49    |    170    |
|    47    |    164    |
|    50    |    130    |
|    51    |    106    |
|    52    |    102    |
|    54    |     95    |
|    56    |     92    |
|    53    |     86    |
|    55    |     75    |
|    57    |     68    |
|    61    |     60    |
|    58    |     60    |
|    60    |     46    |
|    59    |     45    |
|    62    |     44    |
|    63    |     35    |
|    65    |     28    |
|    64    |     27    |
|    67    |     25    |
|    66    |     25    |
|    13    |     24    |
|    68    |     15    |
|    69    |     13    |
|    73    |     13    |
|    70    |     11    |
|    71    |     11    |
|    72    |     8     |
|    75    |     7     |
|    77    |     6     |
|    76    |     5     |
|    78    |     4     |
|    81    |     4     |
|    74    |     4     |
|    79    |     3     |
|    12    |     3     |
|    85    |     2     |
|    92    |     2     |
|    82    |     2     |
|    93    |     2     |
|    87    |     2     |
|    83    |     1     |
|    89    |     1     |
|    96    |     1     |
|    86    |     1     |
|    84    |     1     |
|    80    |     1     |
|    97    |     1     |
|    90    |     1     |
+----------+-----------+
