+---------------------+-----------+
| avg_sentence_length | Frequency |
+---------------------+-----------+
|         11.0        |    2086   |
|         10.0        |    2079   |
|         9.0         |    1575   |
|         12.0        |    1412   |
|        10.67        |    1111   |
|        10.33        |    1098   |
|        11.67        |    1069   |
|        11.33        |    985    |
|         13.0        |    982    |
|         9.67        |    954    |
|         9.33        |    949    |
|         10.5        |    946    |
|         9.5         |    804    |
|         8.0         |    800    |
|         8.67        |    777    |
|         11.5        |    770    |
|         12.5        |    726    |
|         8.75        |    723    |
|         8.5         |    713    |
|         8.33        |    677    |
|        10.75        |    660    |
|         9.75        |    641    |
|        12.33        |    639    |
|         14.0        |    637    |
|        12.67        |    621    |
|        10.25        |    615    |
|         9.25        |    612    |
|        11.25        |    492    |
|         8.25        |    463    |
|         13.5        |    440    |
|        13.33        |    418    |
|         15.0        |    377    |
|        13.67        |    369    |
|        11.75        |    368    |
|        12.25        |    301    |
|         14.5        |    286    |
|         7.0         |    281    |
|         7.5         |    277    |
|         7.75        |    272    |
|        14.33        |    264    |
|         16.0        |    252    |
|         7.67        |    205    |
|         15.5        |    197    |
|        14.67        |    186    |
|        12.75        |    182    |
|         17.0        |    148    |
|         16.5        |    137    |
|         7.33        |    136    |
|         7.25        |    125    |
|        15.33        |    124    |
|        13.25        |    116    |
|         17.5        |    103    |
|        15.67        |     93    |
|         9.8         |     92    |
|        13.75        |     91    |
|         9.6         |     81    |
|         18.0        |     81    |
|         9.4         |     75    |
|         9.2         |     75    |
|         6.67        |     73    |
|         8.2         |     72    |
|        16.67        |     70    |
|         19.0        |     68    |
|         8.8         |     68    |
|        16.33        |     66    |
|         8.6         |     65    |
|         18.5        |     63    |
|         7.8         |     62    |
|         10.2        |     56    |
|         8.4         |     56    |
|         6.75        |     55    |
|         6.5         |     54    |
|         19.5        |     52    |
|         10.4        |     52    |
|         10.8        |     50    |
|         10.6        |     49    |
|         6.0         |     43    |
|         7.6         |     43    |
|         20.0        |     37    |
|         20.5        |     36    |
|         21.0        |     31    |
|         6.33        |     30    |
|        17.33        |     30    |
|         7.4         |     29    |
|         6.25        |     28    |
|         11.2        |     28    |
|        14.25        |     27    |
|         7.2         |     27    |
|         6.8         |     25    |
|         6.6         |     22    |
|         11.6        |     22    |
|         11.4        |     21    |
|         22.0        |     20    |
|        14.75        |     20    |
|         6.4         |     16    |
|         11.8        |     16    |
|        17.67        |     14    |
|         24.0        |     12    |
|        18.33        |     12    |
|         23.0        |     12    |
|         22.5        |     12    |
|         5.5         |     11    |
|         8.17        |     9     |
|         5.0         |     9     |
|        18.67        |     9     |
|         12.4        |     9     |
|         6.2         |     9     |
|         27.5        |     9     |
|         26.0        |     8     |
|         21.5        |     8     |
|        15.25        |     8     |
|         5.33        |     8     |
|         24.5        |     8     |
|         5.75        |     7     |
|         12.2        |     7     |
|         5.67        |     6     |
|        16.25        |     6     |
|         9.17        |     6     |
|         27.0        |     6     |
|         5.25        |     6     |
|         6.83        |     5     |
|         5.8         |     5     |
|         28.0        |     5     |
|         23.5        |     5     |
|        15.75        |     5     |
|         25.0        |     4     |
|         7.17        |     4     |
|         31.0        |     4     |
|         12.6        |     3     |
|         13.2        |     3     |
|         29.0        |     3     |
|         32.0        |     3     |
|         8.83        |     3     |
|         12.8        |     3     |
|        19.67        |     3     |
|         7.83        |     3     |
|         13.6        |     3     |
|         4.5         |     3     |
|         35.0        |     2     |
|         30.0        |     2     |
|        10.17        |     2     |
|         4.67        |     2     |
|         5.6         |     2     |
|         13.4        |     2     |
|         39.0        |     2     |
|         25.5        |     2     |
|         9.14        |     2     |
|         33.0        |     2     |
|        22.33        |     1     |
|        10.83        |     1     |
|        20.33        |     1     |
|         38.0        |     1     |
|         5.2         |     1     |
|         9.57        |     1     |
|         55.0        |     1     |
|         40.0        |     1     |
|         7.57        |     1     |
|         36.0        |     1     |
|         5.4         |     1     |
|         14.4        |     1     |
|         30.5        |     1     |
|         7.14        |     1     |
|        17.25        |     1     |
|         6.86        |     1     |
|        18.25        |     1     |
|         9.83        |     1     |
|         34.0        |     1     |
|         15.4        |     1     |
|        16.75        |     1     |
|         14.2        |     1     |
|         14.6        |     1     |
|         29.5        |     1     |
|         7.71        |     1     |
|         44.0        |     1     |
+---------------------+-----------+
