+-------------------+-------+
| num_cap_per_image | count |
+-------------------+-------+
|        166        |  338  |
|        177        |  336  |
|        183        |  328  |
|        171        |  324  |
|        187        |  321  |
|        192        |  320  |
|        188        |  319  |
|        180        |  317  |
|        178        |  315  |
|        169        |  314  |
|        182        |  314  |
|        186        |  312  |
|        191        |  311  |
|        167        |  310  |
|        175        |  307  |
|        172        |  305  |
|        184        |  304  |
|        189        |  302  |
|        174        |  301  |
|        176        |  298  |
|        190        |  298  |
|        193        |  298  |
|        185        |  297  |
|        173        |  294  |
|        163        |  290  |
|        170        |  289  |
|        162        |  288  |
|        181        |  287  |
|        179        |  284  |
|        160        |  284  |
|        165        |  283  |
|        153        |  275  |
|        168        |  274  |
|        197        |  273  |
|        154        |  265  |
|        161        |  265  |
|        198        |  264  |
|        204        |  263  |
|        196        |  262  |
|        159        |  262  |
|        147        |  259  |
|        157        |  259  |
|        156        |  259  |
|        199        |  259  |
|        195        |  258  |
|        164        |  258  |
|        151        |  257  |
|        201        |  256  |
|        212        |  254  |
|        152        |  253  |
|        158        |  252  |
|        213        |  252  |
|        208        |  251  |
|        203        |  249  |
|        194        |  248  |
|        155        |  247  |
|        149        |  243  |
|        205        |  243  |
|        206        |  243  |
|        207        |  241  |
|        202        |  240  |
|        146        |  237  |
|        209        |  235  |
|        215        |  235  |
|        150        |  235  |
|        148        |  233  |
|        144        |  232  |
|        218        |  231  |
|        145        |  230  |
|        211        |  224  |
|        143        |  222  |
|        200        |  222  |
|        210        |  222  |
|        216        |  212  |
|        142        |  212  |
|        214        |  208  |
|        141        |  207  |
|        217        |  205  |
|        222        |  204  |
|        219        |  204  |
|        140        |  203  |
|        225        |  201  |
|        221        |  199  |
|        220        |  198  |
|        227        |  198  |
|        223        |  195  |
|        230        |  193  |
|        135        |  193  |
|        226        |  192  |
|        136        |  190  |
|        231        |  189  |
|        234        |  188  |
|        237        |  186  |
|        137        |  186  |
|        232        |  184  |
|        229        |  183  |
|        139        |  173  |
|        228        |  170  |
|        233        |  170  |
|        238        |  167  |
|        224        |  166  |
|        138        |  164  |
|        134        |  163  |
|        243        |  161  |
|        236        |  160  |
|        239        |  155  |
|        240        |  151  |
|        132        |  147  |
|        244        |  144  |
|        241        |  143  |
|        133        |  143  |
|        246        |  141  |
|        248        |  138  |
|        235        |  138  |
|        131        |  136  |
|        247        |  133  |
|        250        |  132  |
|        242        |  131  |
|        245        |  131  |
|        249        |  129  |
|        129        |  127  |
|        128        |  125  |
|        254        |  123  |
|        125        |  123  |
|        127        |  122  |
|        130        |  117  |
|        251        |  116  |
|        252        |  115  |
|        126        |  114  |
|        122        |  113  |
|        253        |  113  |
|        124        |  109  |
|        263        |  105  |
|        255        |  103  |
|        119        |  102  |
|        259        |  102  |
|        258        |  100  |
|        256        |  100  |
|        268        |   99  |
|        257        |   99  |
|        118        |   95  |
|        120        |   93  |
|        121        |   92  |
|        261        |   92  |
|        262        |   91  |
|        260        |   90  |
|        112        |   89  |
|        117        |   88  |
|        115        |   87  |
|        123        |   85  |
|        265        |   85  |
|        113        |   84  |
|        111        |   77  |
|        264        |   76  |
|        116        |   74  |
|        266        |   73  |
|        272        |   72  |
|        109        |   72  |
|        267        |   71  |
|        270        |   67  |
|        271        |   65  |
|        110        |   64  |
|        108        |   63  |
|        274        |   63  |
|        114        |   63  |
|        107        |   61  |
|        276        |   61  |
|        281        |   60  |
|        273        |   60  |
|        105        |   57  |
|        104        |   57  |
|        278        |   57  |
|        269        |   56  |
|        279        |   56  |
|        106        |   54  |
|        275        |   54  |
|        277        |   51  |
|        101        |   50  |
|        102        |   46  |
|        284        |   46  |
|        282        |   45  |
|         99        |   45  |
|        285        |   42  |
|        283        |   41  |
|        103        |   41  |
|        280        |   40  |
|        290        |   35  |
|        296        |   35  |
|         98        |   34  |
|        288        |   33  |
|        100        |   32  |
|        287        |   31  |
|        292        |   31  |
|         96        |   31  |
|        301        |   30  |
|        286        |   30  |
|        293        |   30  |
|         97        |   29  |
|        294        |   29  |
|        295        |   29  |
|         94        |   27  |
|         93        |   27  |
|        289        |   26  |
|         89        |   26  |
|        299        |   26  |
|        302        |   26  |
|         92        |   25  |
|        298        |   24  |
|         95        |   23  |
|         87        |   22  |
|        291        |   22  |
|        303        |   21  |
