+------------------+-----------+
| stop_words_count | Frequency |
+------------------+-----------+
|        13        |    3104   |
|        14        |    3094   |
|        15        |    3003   |
|        11        |    2758   |
|        12        |    2758   |
|        16        |    2548   |
|        10        |    2455   |
|        17        |    2165   |
|        9         |    1920   |
|        18        |    1847   |
|        8         |    1594   |
|        19        |    1474   |
|        20        |    1200   |
|        21        |    957    |
|        7         |    851    |
|        22        |    741    |
|        23        |    547    |
|        6         |    382    |
|        24        |    375    |
|        25        |    263    |
|        5         |    186    |
|        26        |    159    |
|        27        |     94    |
|        28        |     65    |
|        4         |     45    |
|        29        |     31    |
|        30        |     24    |
|        32        |     12    |
|        3         |     8     |
|        31        |     6     |
|        33        |     5     |
|        36        |     1     |
|        35        |     1     |
|        34        |     1     |
+------------------+-----------+
