+------------------+-----------+
| stop_words_ratio | Frequency |
+------------------+-----------+
|       0.38       |    3184   |
|       0.41       |    2816   |
|       0.39       |    2730   |
|       0.42       |    2485   |
|       0.4        |    2351   |
|       0.44       |    2087   |
|       0.36       |    2073   |
|       0.37       |    1995   |
|       0.43       |    1969   |
|       0.35       |    1877   |
|       0.33       |    1619   |
|       0.45       |    1508   |
|       0.32       |    1171   |
|       0.34       |    1059   |
|       0.46       |    1028   |
|       0.47       |    896    |
|       0.31       |    722    |
|       0.48       |    609    |
|       0.3        |    536    |
|       0.49       |    441    |
|       0.29       |    349    |
|       0.5        |    339    |
|       0.51       |    150    |
|       0.28       |    149    |
|       0.27       |    133    |
|       0.52       |    110    |
|       0.26       |     88    |
|       0.25       |     50    |
|       0.53       |     48    |
|       0.24       |     26    |
|       0.54       |     18    |
|       0.55       |     16    |
|       0.23       |     9     |
|       0.22       |     8     |
|       0.21       |     7     |
|       0.56       |     6     |
|       0.2        |     4     |
|       0.57       |     4     |
|       0.18       |     1     |
|       0.58       |     1     |
|       0.19       |     1     |
|       0.15       |     1     |
+------------------+-----------+
