+------------+-----------+
| word_count | Frequency |
+------------+-----------+
|     35     |    1920   |
|     34     |    1739   |
|     33     |    1682   |
|     32     |    1671   |
|     31     |    1572   |
|     30     |    1516   |
|     36     |    1370   |
|     37     |    1342   |
|     29     |    1341   |
|     28     |    1330   |
|     38     |    1319   |
|     39     |    1239   |
|     27     |    1223   |
|     26     |    1179   |
|     40     |    1142   |
|     25     |    1103   |
|     41     |    1097   |
|     42     |    1025   |
|     43     |    1001   |
|     44     |    944    |
|     45     |    728    |
|     24     |    647    |
|     46     |    628    |
|     23     |    565    |
|     47     |    544    |
|     48     |    500    |
|     50     |    487    |
|     49     |    476    |
|     22     |    458    |
|     21     |    450    |
|     20     |    358    |
|     51     |    283    |
|     19     |    239    |
|     52     |    223    |
|     53     |    183    |
|     54     |    176    |
|     55     |    161    |
|     18     |    152    |
|     17     |     96    |
|     56     |     87    |
|     16     |     81    |
|     15     |     66    |
|     57     |     57    |
|     58     |     54    |
|     59     |     41    |
|     14     |     27    |
|     60     |     25    |
|     61     |     19    |
|     62     |     17    |
|     13     |     16    |
|     63     |     12    |
|     65     |     11    |
|     64     |     10    |
|     66     |     7     |
|     12     |     6     |
|     70     |     6     |
|     67     |     5     |
|     9      |     3     |
|     68     |     3     |
|     10     |     3     |
|     11     |     2     |
|     73     |     2     |
|     77     |     1     |
|     71     |     1     |
|     74     |     1     |
|     69     |     1     |
|     72     |     1     |
+------------+-----------+
