+----------+-----------+
| ws_count | Frequency |
+----------+-----------+
|    35    |    1824   |
|    34    |    1691   |
|    33    |    1683   |
|    32    |    1561   |
|    36    |    1552   |
|    31    |    1471   |
|    30    |    1441   |
|    39    |    1384   |
|    37    |    1327   |
|    29    |    1296   |
|    38    |    1256   |
|    28    |    1226   |
|    40    |    1204   |
|    27    |    1156   |
|    26    |    1094   |
|    41    |    1078   |
|    42    |    1044   |
|    44    |    1004   |
|    43    |    986    |
|    45    |    863    |
|    25    |    857    |
|    46    |    795    |
|    47    |    625    |
|    24    |    543    |
|    48    |    537    |
|    23    |    531    |
|    49    |    491    |
|    50    |    475    |
|    22    |    451    |
|    51    |    412    |
|    21    |    404    |
|    52    |    320    |
|    20    |    304    |
|    53    |    245    |
|    54    |    208    |
|    19    |    205    |
|    55    |    174    |
|    18    |    142    |
|    56    |    131    |
|    17    |     91    |
|    57    |     86    |
|    59    |     74    |
|    58    |     71    |
|    16    |     69    |
|    15    |     56    |
|    60    |     47    |
|    14    |     27    |
|    61    |     25    |
|    63    |     24    |
|    62    |     23    |
|    64    |     13    |
|    13    |     12    |
|    65    |     11    |
|    67    |     9     |
|    66    |     9     |
|    71    |     5     |
|    68    |     5     |
|    10    |     4     |
|    12    |     4     |
|    69    |     3     |
|    72    |     3     |
|    11    |     3     |
|    70    |     2     |
|    9     |     2     |
|    73    |     2     |
|    76    |     1     |
|    78    |     1     |
|    74    |     1     |
+----------+-----------+
