+---------------------+-----------+
| avg_sentence_length | Frequency |
+---------------------+-----------+
|         8.0         |    1850   |
|         7.0         |    1775   |
|         7.67        |    1733   |
|         7.33        |    1717   |
|         8.33        |    1524   |
|         10.0        |    1421   |
|         9.0         |    1339   |
|         8.67        |    1283   |
|         11.0        |    1263   |
|         6.67        |    1110   |
|         12.0        |    1069   |
|         11.5        |    1052   |
|         10.5        |    1046   |
|         9.33        |    972    |
|         6.0         |    775    |
|         12.5        |    728    |
|         5.0         |    708    |
|         13.0        |    647    |
|         5.5         |    629    |
|         9.67        |    615    |
|         6.25        |    575    |
|         5.75        |    574    |
|         6.75        |    472    |
|         4.4         |    470    |
|         13.5        |    462    |
|        10.33        |    457    |
|         6.5         |    452    |
|         22.0        |    445    |
|         21.0        |    404    |
|         25.0        |    395    |
|         24.0        |    386    |
|         14.0        |    362    |
|         23.0        |    361    |
|        10.67        |    329    |
|         5.25        |    309    |
|         4.8         |    303    |
|         20.0        |    279    |
|         7.25        |    269    |
|         26.0        |    267    |
|         7.5         |    256    |
|         14.5        |    250    |
|         4.0         |    241    |
|         4.6         |    229    |
|         7.75        |    219    |
|        11.33        |    207    |
|         15.0        |    193    |
|         27.0        |    182    |
|         5.6         |    155    |
|         5.4         |    152    |
|        11.67        |    148    |
|         5.2         |    145    |
|         28.0        |    140    |
|         15.5        |    140    |
|         8.25        |    133    |
|         4.2         |    124    |
|         8.5         |    123    |
|         5.8         |    106    |
|         9.5         |    106    |
|         4.83        |    103    |
|         6.33        |    100    |
|         16.0        |     95    |
|         29.0        |     93    |
|         6.2         |     91    |
|         30.0        |     89    |
|         6.6         |     88    |
|        12.33        |     84    |
|         8.75        |     83    |
|         16.5        |     83    |
|         4.5         |     80    |
|         6.4         |     79    |
|         17.0        |     71    |
|        12.67        |     65    |
|         9.25        |     65    |
|         6.8         |     63    |
|         5.17        |     56    |
|         9.75        |     55    |
|         5.67        |     55    |
|         17.5        |     50    |
|         4.67        |     49    |
|         5.33        |     46    |
|         5.83        |     45    |
|         7.6         |     44    |
|         31.0        |     43    |
|         32.0        |     43    |
|        13.33        |     39    |
|         18.0        |     38    |
|         7.2         |     36    |
|         4.17        |     36    |
|         8.2         |     34    |
|         3.83        |     32    |
|         19.0        |     32    |
|         6.17        |     31    |
|         19.5        |     30    |
|         18.5        |     29    |
|         33.0        |     29    |
|         4.33        |     28    |
|         34.0        |     27    |
|         20.5        |     25    |
|         5.71        |     24    |
|        13.67        |     24    |
|         7.8         |     22    |
|         7.4         |     21    |
|         8.6         |     21    |
|        10.25        |     20    |
|        14.33        |     20    |
|         5.86        |     20    |
|         6.57        |     20    |
|         6.71        |     20    |
|         5.57        |     20    |
|         8.4         |     18    |
|        10.75        |     18    |
|         6.83        |     17    |
|         22.5        |     15    |
|         37.0        |     15    |
|         35.0        |     14    |
|        14.67        |     14    |
|         36.0        |     13    |
|         7.17        |     13    |
|         3.5         |     12    |
|         6.14        |     12    |
|         9.4         |     11    |
|         9.2         |     11    |
|        15.33        |     10    |
|         5.43        |     10    |
|         5.14        |     9     |
|         6.86        |     9     |
|         38.0        |     9     |
|         21.5        |     8     |
|         40.0        |     8     |
|         23.5        |     7     |
|         8.8         |     7     |
|         4.75        |     7     |
|         7.83        |     7     |
|        11.75        |     7     |
|         6.43        |     7     |
|        11.25        |     6     |
|        16.33        |     5     |
|         42.0        |     5     |
|        15.67        |     5     |
|         6.29        |     5     |
|         9.6         |     5     |
|         8.17        |     5     |
|         39.0        |     4     |
|        12.25        |     4     |
|         7.71        |     4     |
|         26.5        |     4     |
|         3.67        |     4     |
|         4.57        |     4     |
|         7.29        |     4     |
|         9.8         |     4     |
|         3.33        |     3     |
|         4.71        |     3     |
|         8.83        |     3     |
|        19.67        |     3     |
|         24.5        |     3     |
|         5.38        |     3     |
|        12.75        |     3     |
|         10.4        |     3     |
|         41.0        |     3     |
|         43.0        |     3     |
|         4.86        |     3     |
|         3.8         |     2     |
|         7.14        |     2     |
|         4.43        |     2     |
|         5.62        |     2     |
|         4.56        |     2     |
|         9.17        |     2     |
|         4.14        |     2     |
|         52.0        |     2     |
|        17.67        |     2     |
|         47.0        |     2     |
|         7.43        |     2     |
|         11.6        |     2     |
|        17.33        |     2     |
|         7.57        |     1     |
|        18.33        |     1     |
|         3.43        |     1     |
|        16.67        |     1     |
|        14.75        |     1     |
|         29.5        |     1     |
|         8.14        |     1     |
|         12.6        |     1     |
|        13.25        |     1     |
|        209.0        |     1     |
|        19.38        |     1     |
|        145.0        |     1     |
|         25.5        |     1     |
|        13.75        |     1     |
|         30.5        |     1     |
|         10.2        |     1     |
|        15.75        |     1     |
|         5.29        |     1     |
|        469.0        |     1     |
|         5.88        |     1     |
|         7.86        |     1     |
|         11.2        |     1     |
|        18.67        |     1     |
+---------------------+-----------+
