+-------------------+-------+
| num_cap_per_image | count |
+-------------------+-------+
|        128        |  798  |
|        124        |  783  |
|        127        |  780  |
|        129        |  765  |
|        123        |  762  |
|        131        |  744  |
|        122        |  738  |
|        121        |  729  |
|        117        |  727  |
|        120        |  716  |
|        118        |  708  |
|        126        |  702  |
|        130        |  686  |
|        119        |  665  |
|        125        |  664  |
|        133        |  658  |
|        115        |  647  |
|        112        |  647  |
|        116        |  641  |
|        111        |  631  |
|        114        |  628  |
|        113        |  623  |
|        110        |  602  |
|        132        |  594  |
|        136        |  585  |
|        135        |  582  |
|        108        |  573  |
|        134        |  535  |
|        138        |  529  |
|        140        |  526  |
|        137        |  524  |
|        109        |  508  |
|        139        |  485  |
|        106        |  472  |
|        141        |  468  |
|        107        |  457  |
|        142        |  449  |
|        143        |  415  |
|        144        |  413  |
|        105        |  410  |
|        149        |  406  |
|        145        |  366  |
|        104        |  364  |
|        103        |  358  |
|        146        |  342  |
|        147        |  335  |
|        150        |  329  |
|        102        |  310  |
|        148        |  310  |
|        152        |  306  |
|        151        |  301  |
|        153        |  292  |
|        154        |  275  |
|        101        |  260  |
|         98        |  231  |
|        158        |  227  |
|        155        |  220  |
|        164        |  220  |
|        157        |  218  |
|        100        |  217  |
|         99        |  216  |
|        156        |  214  |
|        159        |  200  |
|        161        |  191  |
|        160        |  189  |
|        163        |  184  |
|        167        |  163  |
|        173        |  161  |
|        170        |  156  |
|        165        |  156  |
|        166        |  153  |
|        168        |  150  |
|        162        |  147  |
|         96        |  145  |
|        171        |  134  |
|         97        |  133  |
|        176        |  122  |
|        169        |  121  |
|         95        |  119  |
|        175        |  114  |
|        174        |  113  |
|        181        |  110  |
|        178        |  100  |
|         94        |   97  |
|        179        |   96  |
|        177        |   95  |
|        172        |   95  |
|        182        |   92  |
|        192        |   76  |
|         93        |   71  |
|        180        |   70  |
|        187        |   69  |
|        184        |   68  |
|        186        |   67  |
|        185        |   64  |
|         92        |   64  |
|        189        |   63  |
|        197        |   63  |
|        196        |   59  |
|        183        |   58  |
|         91        |   55  |
|        193        |   50  |
|        188        |   50  |
|        200        |   49  |
|        199        |   49  |
|        202        |   49  |
|        198        |   48  |
|        191        |   45  |
|        195        |   45  |
|        194        |   45  |
|        201        |   44  |
|        203        |   42  |
|        190        |   41  |
|        218        |   37  |
|        204        |   35  |
|        208        |   35  |
|        209        |   33  |
|        212        |   33  |
|        206        |   31  |
|        211        |   31  |
|        214        |   28  |
|        207        |   28  |
|        205        |   27  |
|        215        |   26  |
|        223        |   25  |
|        221        |   23  |
|        234        |   23  |
|        219        |   23  |
|        216        |   23  |
|         90        |   23  |
|        217        |   21  |
|        222        |   21  |
|        210        |   21  |
|         89        |   20  |
|        226        |   20  |
|        227        |   19  |
|        238        |   18  |
|        220        |   18  |
|        232        |   17  |
|        225        |   17  |
|        230        |   17  |
|        213        |   16  |
|        229        |   16  |
|         87        |   16  |
|        236        |   15  |
|        237        |   15  |
|        240        |   15  |
|        228        |   14  |
|        233        |   14  |
|        235        |   13  |
|        224        |   13  |
|        242        |   13  |
|        239        |   13  |
|         88        |   12  |
|        231        |   11  |
|        246        |   11  |
|        248        |   11  |
|        252        |   10  |
|        259        |   9   |
|        250        |   9   |
|        251        |   8   |
|        264        |   8   |
|        244        |   8   |
|         86        |   8   |
|        245        |   8   |
|        247        |   7   |
|        243        |   7   |
|        241        |   7   |
|        266        |   6   |
|        262        |   6   |
|        249        |   6   |
|        260        |   6   |
|        253        |   6   |
|        256        |   6   |
|        267        |   6   |
|        254        |   6   |
|        258        |   5   |
|        279        |   5   |
|        268        |   5   |
|        257        |   5   |
|        288        |   5   |
|        269        |   5   |
|        261        |   5   |
|         79        |   4   |
|         84        |   4   |
|        278        |   4   |
|        263        |   4   |
|        271        |   3   |
|        309        |   3   |
|        297        |   3   |
|         59        |   3   |
|        270        |   3   |
|        272        |   3   |
|        265        |   3   |
|        274        |   3   |
|        283        |   3   |
|        276        |   2   |
|         60        |   2   |
|        255        |   2   |
|        305        |   2   |
|        275        |   2   |
|        307        |   2   |
|        277        |   2   |
|         82        |   2   |
|         81        |   2   |
|        325        |   2   |
|         72        |   2   |
|        273        |   2   |
|        313        |   1   |
|        281        |   1   |
|         85        |   1   |
|        331        |   1   |
|         56        |   1   |
|         74        |   1   |
|         64        |   1   |
|        314        |   1   |
|        326        |   1   |
|         61        |   1   |
|         67        |   1   |
|        284        |   1   |
|         83        |   1   |
|        318        |   1   |
|        301        |   1   |
|        282        |   1   |
|        2808       |   1   |
|        294        |   1   |
|        290        |   1   |
|        340        |   1   |
|        287        |   1   |
|        308        |   1   |
|        321        |   1   |
|        334        |   1   |
|        338        |   1   |
|        292        |   1   |
|        280        |   1   |
|        1614       |   1   |
|        352        |   1   |
|        810        |   1   |
|        791        |   1   |
|        1048       |   1   |
|         78        |   1   |
|         80        |   1   |
+-------------------+-------+
