+------------------+-----------+
| stop_words_count | Frequency |
+------------------+-----------+
|        10        |    5201   |
|        11        |    5105   |
|        12        |    4727   |
|        13        |    3843   |
|        9         |    3738   |
|        14        |    3379   |
|        8         |    2320   |
|        15        |    1982   |
|        16        |    1330   |
|        7         |    1024   |
|        17        |    995    |
|        18        |    763    |
|        19        |    474    |
|        6         |    473    |
|        20        |    344    |
|        21        |    252    |
|        22        |    141    |
|        5         |    135    |
|        23        |    125    |
|        3         |    115    |
|        4         |    111    |
|        24        |    108    |
|        26        |     87    |
|        25        |     70    |
|        28        |     47    |
|        27        |     41    |
|        29        |     34    |
|        30        |     13    |
|        31        |     11    |
|        32        |     11    |
|        34        |     4     |
|        35        |     1     |
|       131        |     1     |
|        33        |     1     |
|        37        |     1     |
|        50        |     1     |
|        58        |     1     |
|       105        |     1     |
+------------------+-----------+
