+------------------+-----------+
| stop_words_ratio | Frequency |
+------------------+-----------+
|       0.48       |    3692   |
|       0.5        |    3673   |
|       0.52       |    2521   |
|       0.46       |    2376   |
|       0.43       |    2371   |
|       0.45       |    2188   |
|       0.42       |    1936   |
|       0.38       |    1840   |
|       0.44       |    1840   |
|       0.41       |    1612   |
|       0.4        |    1424   |
|       0.39       |    1103   |
|       0.36       |    947    |
|       0.54       |    931    |
|       0.35       |    804    |
|       0.47       |    795    |
|       0.55       |    666    |
|       0.33       |    620    |
|       0.57       |    510    |
|       0.56       |    507    |
|       0.53       |    495    |
|       0.37       |    438    |
|       0.32       |    417    |
|       0.58       |    339    |
|       0.51       |    293    |
|       0.49       |    280    |
|       0.3        |    273    |
|       0.59       |    251    |
|       0.29       |    244    |
|       0.62       |    179    |
|       0.6        |    171    |
|       0.61       |    143    |
|       0.27       |    105    |
|       0.31       |     95    |
|       0.64       |     91    |
|       0.34       |     82    |
|       0.25       |     72    |
|       0.12       |     68    |
|       0.26       |     64    |
|       0.65       |     58    |
|       0.2        |     56    |
|       0.28       |     55    |
|       0.63       |     49    |
|       0.67       |     48    |
|       0.23       |     48    |
|       0.19       |     37    |
|       0.24       |     34    |
|       0.14       |     32    |
|       0.21       |     23    |
|       0.68       |     21    |
|       0.18       |     20    |
|       0.17       |     20    |
|       0.22       |     15    |
|       0.15       |     9     |
|       0.7        |     9     |
|       0.66       |     9     |
|       0.13       |     3     |
|       0.69       |     3     |
|       0.1        |     3     |
|       0.72       |     1     |
|       0.74       |     1     |
+------------------+-----------+
