+------------+-----------+
| word_count | Frequency |
+------------+-----------+
|     22     |    4220   |
|     24     |    4076   |
|     23     |    3952   |
|     25     |    3392   |
|     21     |    3210   |
|     26     |    2755   |
|     20     |    2686   |
|     27     |    2551   |
|     28     |    1999   |
|     29     |    1437   |
|     30     |    1270   |
|     31     |    1008   |
|     32     |    755    |
|     33     |    615    |
|     34     |    524    |
|     35     |    395    |
|     36     |    312    |
|     37     |    246    |
|     38     |    235    |
|     40     |    205    |
|     39     |    188    |
|     41     |    145    |
|     19     |    139    |
|     42     |    125    |
|     43     |     98    |
|     46     |     69    |
|     47     |     60    |
|     45     |     59    |
|     44     |     48    |
|     18     |     34    |
|     48     |     30    |
|     49     |     25    |
|     17     |     20    |
|     52     |     18    |
|     50     |     18    |
|     16     |     13    |
|     51     |     13    |
|     53     |     11    |
|     55     |     7     |
|     59     |     5     |
|     54     |     5     |
|     11     |     4     |
|     63     |     4     |
|     12     |     4     |
|     14     |     3     |
|     60     |     3     |
|     58     |     3     |
|     56     |     3     |
|     57     |     2     |
|     69     |     1     |
|     13     |     1     |
|     15     |     1     |
|    469     |     1     |
|    209     |     1     |
|    145     |     1     |
|    175     |     1     |
|     68     |     1     |
|     61     |     1     |
|     66     |     1     |
|    155     |     1     |
+------------+-----------+
