+----------+-----------+
| ws_count | Frequency |
+----------+-----------+
|    24    |    3970   |
|    25    |    3742   |
|    23    |    3477   |
|    22    |    3340   |
|    26    |    3168   |
|    27    |    3020   |
|    21    |    2554   |
|    28    |    2429   |
|    20    |    1815   |
|    29    |    1694   |
|    30    |    1322   |
|    31    |    1116   |
|    32    |    872    |
|    33    |    795    |
|    34    |    603    |
|    35    |    537    |
|    36    |    377    |
|    37    |    311    |
|    38    |    280    |
|    40    |    216    |
|    39    |    215    |
|    41    |    162    |
|    42    |    126    |
|    43    |    116    |
|    19    |    106    |
|    45    |     88    |
|    46    |     88    |
|    44    |     76    |
|    47    |     70    |
|    48    |     46    |
|    52    |     39    |
|    51    |     38    |
|    50    |     30    |
|    18    |     29    |
|    49    |     29    |
|    17    |     17    |
|    53    |     15    |
|    55    |     10    |
|    54    |     10    |
|    16    |     8     |
|    56    |     7     |
|    60    |     6     |
|    12    |     5     |
|    57    |     4     |
|    11    |     3     |
|    15    |     3     |
|    58    |     3     |
|    62    |     3     |
|    61    |     3     |
|    59    |     3     |
|    65    |     2     |
|    63    |     2     |
|    68    |     1     |
|   202    |     1     |
|   145    |     1     |
|   162    |     1     |
|   217    |     1     |
|    70    |     1     |
|    64    |     1     |
|   469    |     1     |
|    13    |     1     |
|    14    |     1     |
+----------+-----------+
